 num     #instances         #bytes  class name (module)
  97:            69          10752  [Ljava.lang.invoke.MethodHandle; (java.base@23)
  98:           448          10752  java.util.LinkedHashMap$LinkedValues (java.base@23)
  99:           264          10560  com.google.inject.internal.SingletonScope$1
 100:           264          10560  sun.security.util.KnownOIDs (java.base@23)
 101:           436          10552  [Ljava.lang.reflect.Constructor; (java.base@23)
 102:           219          10512  java.lang.invoke.LambdaForm (java.base@23)
 103:           261          10440  jdk.internal.loader.URLClassPath$JarLoader$2 (java.base@23)
 104:           434          10416  com.google.inject.internal.ProvisionListenerStackCallback
 105:           434          10408  [Lcom.google.inject.spi.ProvisionListener;
 106:           260          10400  com.google.inject.internal.LinkedBindingImpl
 107:           433          10392  com.google.inject.internal.ProvisionListenerCallbackStore$KeyBinding
 108:           259          10360  java.lang.ClassNotFoundException (java.base@23)
 109:           544          10344  [Lsun.reflect.generics.tree.TypeArgument; (java.base@23)
 110:           646          10336  java.util.HashSet (java.base@23)
 111:           646          10336  java.util.LinkedHashSet (java.base@23)
 112:           425          10200  java.util.Collections$UnmodifiableRandomAccessList (java.base@23)
 113:           224           9896  [Ljava.lang.invoke.LambdaForm$Name; (java.base@23)
 114:           238           9520  java.lang.Package$VersionInfo (java.base@23)
 115:           235           9400  com.google.inject.internal.MembersInjectorImpl
 116:           391           9384  java.lang.Long (java.base@23)
 117:           194           9312  com.google.inject.internal.ConstructorBindingImpl
 118:           160           8960  org.apache.maven.model.PluginExecution
 119:           373           8952  java.lang.module.ModuleDescriptor$Exports (java.base@23)
 120:           540           8640  sun.reflect.generics.tree.ClassTypeSignature (java.base@23)
 121:            44           8448  org.apache.maven.model.Model
 122:           205           8200  java.util.TreeMap$Entry (java.base@23)
 123:            91           8008  java.util.regex.Pattern (java.base@23)
 124:           322           7728  java.util.LinkedHashMap$LinkedKeySet (java.base@23)
 125:           230           7360  java.lang.ref.WeakReference (java.base@23)
 126:           439           7024  java.util.Collections$UnmodifiableSet (java.base@23)
 127:           292           7008  org.glassfish.jersey.server.internal.routing.MethodSelectingRouter$ConsumesProducesAcceptor
 128:           109           6976  java.util.zip.Inflater (java.base@23)
 129:           143           6864  java.util.logging.LogManager$LoggerWeakRef (java.logging@23)
 130:            61           6832  org.apache.maven.model.Profile
 131:           122           6832  org.eclipse.aether.repository.RemoteRepository
 132:            85           6800  java.util.zip.ZipFile$Source (java.base@23)
 133:           271           6504  com.google.inject.internal.InternalFactoryToProviderAdapter
 134:           271           6504  com.google.inject.internal.ProviderToInternalFactoryAdapter
 135:           271           6504  java.util.ImmutableCollections$Set12 (java.base@23)
 136:           135           6480  java.util.WeakHashMap (java.base@23)
 137:           115           6440  org.apache.maven.plugin.descriptor.Parameter
 138:           267           6408  com.google.inject.internal.MoreTypes$ParameterizedTypeImpl
 139:           199           6368  java.lang.ClassValue$Entry (java.base@23)
 140:           264           6336  com.google.inject.internal.ConstructionContext
 141:           158           6320  java.lang.invoke.BoundMethodHandle$Species_L (java.base@23)
 142:           261           6264  java.net.URLClassLoader$1 (java.base@23)
 143:           261           6264  java.util.zip.ZipFile$InflaterCleanupAction (java.base@23)
 144:           195           6240  java.lang.invoke.MethodTypeForm (java.base@23)
 145:           389           6224  com.google.common.collect.SingletonImmutableList
 146:           194           6208  com.google.inject.internal.ConstructorBindingImpl$Factory
 147:           194           6208  com.google.inject.internal.ConstructorInjector
 148:           153           6120  com.google.inject.internal.UntargettedBindingImpl
 149:           125           6000  org.jvnet.hk2.internal.SystemInjecteeImpl
 150:           124           5952  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@23)
 151:            74           5920  org.apache.maven.artifact.DefaultArtifact
 152:           245           5880  org.eclipse.aether.repository.RepositoryPolicy
 153:           119           5712  java.util.TreeMap (java.base@23)
 154:           141           5640  com.google.inject.internal.UntargettedBindingProcessor$1
 155:            99           5544  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@23)
 156:           227           5448  com.google.inject.internal.InjectorImpl$1
 157:            85           5440  java.util.jar.JarFile (java.base@23)
 158:           226           5424  java.lang.invoke.LambdaForm$NamedFunction (java.base@23)
 159:           334           5344  java.security.SecureClassLoader$CodeSourceKey (java.base@23)
 160:            82           5248  org.apache.maven.model.ReportPlugin
 161:             5           5200  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@23)
 162:            40           5184  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@23)
 163:           208           4992  com.google.inject.internal.InternalFactoryToInitializableAdapter
 164:            62           4960  java.net.URI (java.base@23)
 165:            87           4872  java.io.FileCleanable (java.base@23)
 166:           195           4680  com.google.inject.internal.aop.AbstractGlueGenerator$$Lambda/0x000078cd0f193d68
 167:           194           4656  com.google.inject.internal.DefaultConstructionProxyFactory$FastClassProxy
 168:            10           4544  [Ljava.nio.ByteBuffer; (java.base@23)
 169:           283           4528  java.lang.Integer (java.base@23)
